sheet,position_no,title_th,org_unit_code,position_type_code
ข้าราชการ,52-1-00-1101-001,นักบริหารงานท้องถิ่น ระดับสูง,HQ,EXECUTIVE
ข้าราชการ,52-1-00-1101-002,นักบริหารงานท้องถิ่น ระดับสูง,HQ,EXECUTIVE
ข้าราชการ,52-1-00-1101-003,นักบริหารงานท้องถิ่น ระดับกลาง,HQ,EXECUTIVE
ข้าราชการ,52-1-01-2101-001,นักบริหารงานทั่วไป ระดับกลาง,SP,DIRECTOR
ข้าราชการ,52-1-01-2101-002,นักบริหารงานทั่วไป ระดับต้น,SP,DIRECTOR
ข้าราชการ,52-1-01-2101-005,นักบริหารงานทั่วไป ระดับต้น,SP,DIRECTOR
ข้าราชการ,52-1-01-2105-001,นักบริหารงานสวัสดิการสังคม ระดับต้น,SP,DIRECTOR
ข้าราชการ,52-1-01-3105-003,นิติกร,SP,ACADEMIC
ข้าราชการ,52-1-01-3101-002,นักจัดการงานทั่วไป,SP,ACADEMIC
ข้าราชการ,52-1-01-3101-004,นักจัดการงานทั่วไป,SP,ACADEMIC
ข้าราชการ,52-1-01-3101-005,นักจัดการงานทั่วไป,SP,ACADEMIC
ข้าราชการ,52-1-01-3101-006,นักจัดการงานทั่วไป,SP,ACADEMIC
ข้าราชการ,52-1-01-3101-007,นักจัดการงานทั่วไป,SP,ACADEMIC
ข้าราชการ,52-1-01-3105-001,นิติกร,SP,ACADEMIC
ข้าราชการ,52-1-01-3105-002,นิติกร,SP,ACADEMIC
ข้าราชการ,52-1-01-3105-004,นิติกร,SP,ACADEMIC
ข้าราชการ,52-1-01-3106-001,นักวิชาการคอมพิวเตอร์,SP,ACADEMIC
ข้าราชการ,52-1-01-3206-001,นักวิชาการพาณิชย์,SP,ACADEMIC
ข้าราชการ,52-1-01-3206-002,นักวิชาการพาณิชย์,SP,ACADEMIC
ข้าราชการ,52-1-01-3301-001,นักประชาสัมพันธ์ชก.,SP,ACADEMIC
ข้าราชการ,52-1-01-3302-001,นักพัฒนาการท่องเที่ยว,SP,ACADEMIC
ข้าราชการ,52-1-01-3302-002,นักพัฒนาการท่องเที่ยว,SP,ACADEMIC
ข้าราชการ,52-1-01-3302-003,นักพัฒนาการท่องเที่ยว,SP,ACADEMIC
ข้าราชการ,52-1-01-3401-001,นักวิชาการเกษตร,SP,ACADEMIC
ข้าราชการ,52-1-01-3801-001,นักพัฒนาชุมชน,SP,ACADEMIC
ข้าราชการ,52-1-01-3801-002,นักพัฒนาชุมชน,SP,ACADEMIC
ข้าราชการ,52-1-01-3802-001,นักสังคมสงเคราะห์,SP,ACADEMIC
ข้าราชการ,52-1-01-3802-002,นักสังคมสงเคราะห์,SP,ACADEMIC
ข้าราชการ,52-1-01-3810-001,นักป้องกันและบรรเทาสาธารณภัย,SP,ACADEMIC
ข้าราชการ,52-1-01-4101-001,เจ้าพนักงานธุรการ,SP,GENERAL
ข้าราชการ,52-1-01-4101-002,เจ้าพนักงานธุรการ,SP,GENERAL
